Time,F-5 
9825.08177,-14.8838042
9827.92073,-14.8521494
9830.76588,-14.8688852
9833.60716,-15.0265378
9836.44537,-14.9946578
9839.27983,-15.0242322
9842.11849,-15.0985185
9844.95482,-14.933989
9847.80291,-14.7863946
9850.64156,-15.0200066
9853.47415,-14.7131908
9856.31419,-14.9631472
9859.15452,-14.7511535
9861.98549,-14.8635388
9864.83651,-14.9921487
9867.67375,-14.6557434
9870.50306,-14.5912866
9873.33303,-14.949271
9876.16986,-14.8607102
9879.01651,-14.9783861
9881.84504,-14.7249556
9884.69369,-14.7117031
9887.53053,-15.0254508
9890.35775,-14.69058
9893.20951,-14.9435302
9896.04461,-14.6681927
9898.89876,-14.5550023
9901.72366,-14.9564637
9904.58538,-15.0912402
9907.41059,-14.8749661
9910.24224,-15.0474917
9913.08095,-14.8921367
9915.91835,-14.7630296
9918.79532,-14.9551724
9921.62815,-14.7767928
9924.45093,-14.6521669
9927.28768,-15.0050653
9930.19367,-14.641458
9933.06738,-15.1638779
9935.89509,-14.977286
9938.72731,-14.802809
9941.5649,-14.96687
9944.43817,-14.9458197
9947.29064,-14.7339781
9950.1191,-14.7584966
9952.95181,-14.9019957
9955.80621,-14.7947001
9958.64449,-14.9204645
9961.48752,-14.8047681
9964.31879,-14.7811727
9967.15226,-14.7586781
9970.02359,-14.9521392
9972.86568,-14.8562895
9975.71109,-14.8040136
9978.58123,-14.7428735
9981.44964,-15.1230511
9984.2696,-14.8647434
9987.11307,-14.7774113
9989.95246,-14.6432659
9992.80781,-14.8060163
9995.64045,-14.9287781
9998.47386,-14.7153555
10001.3056,-14.7384081
10004.1383,-14.7172495
10006.9854,-14.6210291
10009.8395,-14.9543545
10012.6584,-14.9757662
10015.5004,-14.705106
10018.3412,-14.7445487
10021.188,-15.094697
10024.0231,-14.6561331
10026.8822,-14.853381
10029.7177,-14.7549903
10032.5667,-14.6631929
10035.4053,-15.0078643
10038.2488,-14.7784861
10041.1046,-14.5728007
10043.9336,-14.9450761
10046.7626,-14.2885856
10049.609,-14.6279389
10052.4437,-14.9340051
10055.301,-14.8323488
10058.1295,-14.9338256
10060.9584,-14.6393829
10063.8045,-14.7146371
10066.6337,-14.7648329
10069.4628,-14.6476104
10072.3068,-14.5084404
10075.1669,-14.8792545
10077.997,-14.6421689
10080.8303,-14.7484273
10083.6577,-14.935617
10086.4935,-14.9378059
10089.3264,-14.8289963
10092.1626,-14.7733797
10094.991,-14.8763491
10097.8276,-14.6312342
10100.6948,-14.8547642
10103.5397,-14.7601709
10106.378,-14.717755
10109.2058,-14.6186561
10112.0359,-14.8468031
10114.8951,-14.8333573
10117.7354,-14.7373618
10120.5712,-14.5784058
10123.3975,-14.5529973
10126.2318,-14.8142506
10129.0529,-14.7411241
10131.8899,-14.6167796
10134.7144,-14.5909251
10137.5511,-14.866099
10140.3785,-14.8434393
10143.2226,-14.7577862
10146.0606,-14.8682459
10148.9108,-14.8779602
10151.7465,-14.7370732
10154.6176,-14.7997623
10157.4597,-14.8889366
10160.3022,-14.637447
10163.1638,-14.7877712
10166.0382,-14.8333521
10168.8649,-14.9051703
10171.7095,-14.6522158
10174.5476,-14.8386772
10177.4041,-15.0740234
10180.244,-14.7626127
10183.0752,-14.4281068
10185.9,-14.7379368
10188.7237,-14.7924192
10191.5696,-14.835543
10194.4029,-14.7927476
10197.259,-14.8273341
10200.087,-14.5873873
10202.92,-14.6510423
10205.7598,-14.7670517
10208.607,-14.7457186
10211.4506,-14.8720041
10214.287,-14.7264306
10217.1151,-14.7453805
10219.9494,-14.8547598
10222.7869,-14.9949302
10225.6242,-14.6949105
10228.4944,-14.6914224
10231.3334,-14.5623498
10234.2004,-14.7600645
10237.0326,-14.5309348
10239.8637,-14.5371843
10242.694,-14.692143
10245.5272,-14.7214039
10248.3683,-14.5236788
10251.2126,-14.6744489
10254.0475,-14.7676802
10256.8694,-14.7687188
10259.6967,-14.601187
10262.54,-14.7535007
10265.3715,-14.8382702
10268.2106,-14.850911
10271.0579,-14.4734299
10273.8821,-14.7160991
10276.7383,-14.737316
10279.5577,-14.8914107
10282.3954,-14.8894232
10285.2262,-14.6636051
10288.06,-14.7973424
10290.8924,-14.6539931
10293.7512,-14.4805609
10296.576,-14.7207945
10299.4256,-14.8093942
10302.2662,-14.5269767
10305.1162,-14.7326436
10307.9501,-14.6969708
10310.7765,-14.6059457
10313.7084,-14.7234528
10316.5575,-14.815553
10319.4064,-14.7469686
10322.2364,-14.8755183
10325.0677,-14.8672901
10327.9132,-14.9776733
10330.7557,-14.4813146
10333.5971,-14.7522765
10336.4406,-14.9723156
10339.2811,-14.6468548
10342.1206,-14.5871843
10344.9715,-14.8055729
10347.8344,-14.7915879
10350.664,-14.9981425
10353.5131,-14.8285445
10356.3465,-14.301614
10359.1753,-14.5582631
10362.0211,-14.6010774
10364.86,-14.6564122
10367.6987,-14.871668
10370.5469,-14.8127179
10373.4112,-14.565459
10376.2496,-14.6995877
10379.0761,-14.5267008
10381.9149,-14.6523916
10384.744,-14.8932683
10387.5849,-14.7502183
10390.4303,-14.5356672
10393.3051,-14.6122316
10396.1406,-14.71805
10398.9617,-15.0079343
10401.8384,-14.7861383
